date,index,Brent Oil,Coin,Euro,USD,CPI,HOUSE,M1,M2,GDP,Gold,Agriculture,CoalMining,EstekrajeNaft,MahsolateFelezi,SayerMadan,Mansojat,Wood,paper,EntesharVaChap,FaravardehayeNafti,Lastic,FelezateAsasi,MashinAlat,DastgahayeBargi,VasayelErtebati,AbzaralatePezeshki,khodrosazi,GhandVaShekar,ChandReshteSanati,GazaeeBejozGhand,Daroee,Shimiyaee,KashiVaSeramik,Siman,KanehayeGeyreFelezi,SarmayeGozari,Bank,SayerMali,HamlVaNaghl,Bimeh,Amlakva,Rayaneh,FaniVaMohandesi,Mali,KanehayeFelezi
10/30/2011,-0.153358941,0.421653362,3.2280249,-0.302418757,-0.416350574,-0.106792908,0.230559937,-0.210380627,-0.472803355,-0.218068391,-1.174248257,-0.09647532,-0.118179511,-0.12109479,0.153936465,-0.031789915,-0.103010402,-0.075837879,-1.007569949,0.035264386,0.005706447,-0.130682824,-0.25204262,-0.484212268,-0.088531408,-0.18110618,-0.031738025,-0.096303387,1.029393075,-0.210462962,-1.053750987,-0.07091857,-0.177159778,-0.517242527,-0.136318222,0.785642832,-0.223674247,0.160881643,-0.079933354,-0.027158036,-0.510819644,-0.131638005,-0.419231005,-0.267758409,0.016561372,-0.055805614
10/31/2011,-0.09723585,0.078318919,-0.569438041,0.055647636,0.281698455,-0.103907771,-0.161242227,-0.204380744,-0.480393437,-0.215907045,-1.802361238,-0.09647532,-0.654535652,-0.084042086,-0.520545651,-0.079147171,-0.050677493,-1.08804486,-0.185459236,-0.992354761,-0.061882549,0.090944791,-0.258688056,-0.28786907,-0.127503796,-0.729719309,-0.031738025,0.047901194,1.207310244,0.241016038,-0.762606804,-0.31630891,-0.072358159,0.048441024,-0.101401113,-0.463969007,-0.170875563,0.236815561,-0.043320648,-0.062008118,-0.316923359,-0.468898294,-0.383750137,-0.294468756,0.028276596,-0.120005464
11/1/2011,0.116044992,-0.090181619,0.104184049,-0.004175891,-0.06732606,-0.101029169,-0.161494527,-0.198384471,-0.487975551,-0.404629222,-2.476620144,-0.013355068,-0.236402243,0.064493703,-0.147214951,-0.079147171,0.599040786,-1.297335255,-0.089178621,-0.011256639,0.013537295,0.007501654,-0.332437788,0.099072455,-0.003029445,0.522146593,-0.031738025,0.401654339,1.001628792,0.700272537,0.53338085,-0.017000826,0.3519778,-0.175884933,-0.10141609,0.468595888,0.119605225,0.158743421,0.373347326,-0.044597182,0.044188249,0.176258482,-0.278806811,0.219081572,0.024188404,-0.110689289
11/2/2011,-0.589515526,0.126454184,-0.403004183,-0.37756311,0.019568908,1.079804034,-0.161746409,-0.015322735,-0.056134037,-0.207216681,1.594699356,-0.09647532,0.0484424,-0.065420972,-0.735038278,-0.079147171,-0.103010402,-0.129594221,0.952607789,0.217792345,-0.00962501,-0.207060379,-0.676707433,-0.053754538,-0.218042464,-0.107316328,-0.031738025,-0.506068697,-0.107356806,-0.53467914,-1.164659124,-0.154692663,-0.510799902,-0.443535925,-0.171220354,0.061088352,-0.382044636,-0.39731567,-0.308634894,-0.055087046,0.082933653,-0.690880227,-0.477790602,-0.242779555,-0.060046254,-0.13969441
11/5/2011,-1.142268826,0.130108418,1.026079259,-0.379434753,0.451046531,-0.089580517,-0.161997875,-0.174441848,-0.518229354,-0.205033307,0.97799392,-0.09647532,-0.236638428,-0.758152714,-1.360722395,-0.079147171,-0.103010402,-0.075837879,-0.104312958,-0.155447667,-0.037001969,-0.429148893,-0.932921049,-0.448085441,-0.250863271,-0.747330339,-0.031738025,-0.796295788,-0.915185933,-1.139069361,-0.788595049,-0.472245801,-0.372693244,-0.758255498,-0.276076643,-1.493548978,-0.68845981,-1.1364889,-0.883530116,-0.051617758,-0.342690986,-0.622017692,-2.362462158,-0.998214361,-0.164680914,-0.184313134
11/6/2011,-1.068976057,0.292709684,-0.230839737,-0.063797502,0.275435327,-0.086734898,0.225270355,-0.059021877,-0.332485645,-0.202845806,-1.12553591,-0.09647532,-1.480795193,-0.560432877,-1.322061791,-0.079147171,1.679669241,-0.075837879,-0.218510233,-0.366296236,-0.093782308,-0.897433844,-1.00032327,-0.36210192,-0.095037697,-0.14361702,-0.031738025,-0.798252544,-0.120116242,-0.386283467,-0.468415197,-0.485420562,-0.746374574,-1.268911966,-0.662560541,-0.930898577,-0.839945945,-0.954912468,-0.569364402,-0.058643157,-0.269343467,-0.551389254,-2.250970389,-0.965081701,-0.143125388,-0.148069795
11/8/2011,0.083387733,0.045768308,0.923587247,0.386538609,0.358004169,-0.083895936,-0.162999594,-0.156538325,-0.540848297,-0.200654273,0.38901589,-0.09647532,0.233024129,-0.104371086,0.816203774,-0.079147171,-0.103010402,-1.326343946,0.594009981,1.166308683,0.034309744,0.21286951,0.318311671,-0.647006796,-0.18896933,-0.659565711,-0.031738025,0.287015609,0.298000583,0.793060743,-0.193638487,-0.016191597,-0.156400466,-0.089150444,-0.489046648,-0.103739252,0.096787052,-0.070696087,-0.0323136,-0.065697092,-0.226043338,-0.524513761,0.253787327,-0.440113117,-0.007787104,-0.14082911
11/9/2011,0.093015085,-0.220398795,1.616163975,0.353086158,0.354587825,-0.081063652,-0.163248994,0.109988758,-0.214477007,-0.358696337,-0.594743509,-0.09647532,0.304947338,-0.085255888,0.609762989,-0.079147171,-0.278907542,-1.228585647,0.466393037,1.005942833,0.034256469,0.28381832,0.096212963,-0.097833335,0.131086116,-0.21742135,-0.031738025,0.160273311,1.62059507,0.093582671,-0.118422082,-0.244925889,-0.043564944,0.239991046,-0.171675303,-0.152641754,0.229588386,0.205389025,-0.112422538,-1.040818036,0.123078004,-0.390714698,0.16447672,0.872705478,0.030122178,-0.109671645
11/12/2011,-0.467126958,-0.281745011,-0.064675127,-1.690200649,-0.701474561,1.139421251,-0.163497984,-0.13275431,-0.570924353,-0.266450014,-0.59792033,-0.09647532,-0.194988487,-0.297261976,-1.19910157,-0.079147171,0.072886739,-0.075837879,1.43754018,-0.823234156,0.003538008,-0.237919992,-0.226592806,-0.238891311,-0.085149906,-0.428181539,-0.031738025,-0.736850908,0.769794632,-0.782476853,-0.478790751,-0.064392537,-0.219850468,0.107168888,-0.065619416,-0.667877989,-0.478635698,-0.22837036,-0.326848322,-0.089671331,-0.247693237,0.10923842,-0.205780543,-1.297671496,-0.039422019,-0.160612718
11/13/2011,-0.170088908,0.409372533,0.637628338,-0.617233765,-0.06732606,0.546038017,-0.163746565,-0.126825972,-0.578430263,-0.187425771,-0.784658936,-0.09647532,-0.81149923,-0.104895179,-0.459686127,-0.079147171,-0.885939056,-0.075837879,-0.510043416,-0.081066259,0.006708426,-0.178027534,-0.133743892,-0.417940116,-0.01946937,-0.588036275,-0.031738025,-0.222216876,4.269276364,0.000411527,-0.160400165,-0.094542511,0.026857357,-0.296980661,-0.171659947,-0.07879747,-0.2116057,-0.22865225,-0.225731213,-0.305868868,-0.217392151,0.184037956,-0.264435284,0.531421129,-0.036826245,-0.161707748
